None	-	Add “Not applicable”
FS		Add “Fast spiking interneuron”
Medium Spiny Neuron (dMSN)	Medium spiny neuron	
MSN D2	Medium spiny neuron	Add MSN D2
Purkinje Cell	Purkinje Cell	
Neuron	-	
Pyramidal cell	Pyramidal Cell	
n/a	-	Add “Not applicable”
general	-	Add “Not applicable”
MSN	Medium spiny neuron	
L2/3 Pyramidal cell	Pyramidal Cell	
ChIN	-	Ask….
Granule Cell (mono-compartmental)	Granule Cell	
NA	-	Add “Not applicable”
Granule Cell (multi-compartmental)	Granule Cell	
MSN, FS, ChIN	-	Add “Not applicable” for all networks
PC, INTs	-	Add “Not applicable” for all networks
MSN D1	Medium spiny neuron	Add MSN D1 (full form)
